集計年,都道府県コード,都道府県名,総人口
1960,01,北海道,5039206
1960,02,青森県,1426606
1960,03,岩手県,1448517
1960,04,宮城県,1743195
1960,05,秋田県,1335580
1960,06,山形県,1320664
1960,07,福島県,2051137
1960,08,茨城県,2047024
1960,09,栃木県,1513624
1960,10,群馬県,1578476
1960,11,埼玉県,2430871
1960,12,千葉県,2306010
1960,13,東京都,9683802
1960,14,神奈川県,3443176
1960,15,新潟県,2442037
1960,16,富山県,1032614
1960,17,石川県,973418
1960,18,福井県,752696
1960,19,山梨県,782062
1960,20,長野県,1981433
1960,21,岐阜県,1638399
1960,22,静岡県,2756271
1960,23,愛知県,4206313
1960,24,三重県,1485054
1960,25,滋賀県,842695
1960,26,京都府,1993403
1960,27,大阪府,5504746
1960,28,兵庫県,3906487
1960,29,奈良県,781058
1960,30,和歌山県,1002191
1960,31,鳥取県,599135
1960,32,島根県,888886
1960,33,岡山県,1670454
1960,34,広島県,2184043
1960,35,山口県,1602207
1960,36,徳島県,847274
1960,37,香川県,918867
1960,38,愛媛県,1500687
1960,39,高知県,854595
1960,40,福岡県,4006679
1960,41,佐賀県,942874
1960,42,長崎県,1760421
1960,43,熊本県,1856192
1960,44,大分県,1239655
1960,45,宮崎県,1134590
1960,46,鹿児島県,1963104
1960,47,沖縄県,883122
1961,01,北海道,5073000
1961,02,青森県,1427000
1961,03,岩手県,1444000
1961,04,宮城県,1740000
1961,05,秋田県,1327000
1961,06,山形県,1310000
1961,07,福島県,2037000
1961,08,茨城県,2053000
1961,09,栃木県,1513000
1961,10,群馬県,1581000
1961,11,埼玉県,2497000
1961,12,千葉県,2356000
1961,13,東京都,9967000
1961,14,神奈川県,3606000
1961,15,新潟県,2434000
1961,16,富山県,1032000
1961,17,石川県,975000
1961,18,福井県,753000
1961,19,山梨県,777000
1961,20,長野県,1975000
1961,21,岐阜県,1645000
1961,22,静岡県,2781000
1961,23,愛知県,4319000
1961,24,三重県,1491000
1961,25,滋賀県,844000
1961,26,京都府,2009000
1961,27,大阪府,5735000
1961,28,兵庫県,3986000
1961,29,奈良県,784000
1961,30,和歌山県,1004000
1961,31,鳥取県,595000
1961,32,島根県,879000
